a_water,avg_irrad,avg_rad,b,fd_flag,flux,na,ns,num_scatters
0.1,4.793573869692433,0.46169505116371806,0.05313292845913058,True,2147.461669921875,8,72,0
0.1,4.736474500908736,4.736474500908736,0.05313292845913058,False,2104.41650390625,8,72,0
0.1,4.735609706411535,4.735609706411535,0.05313292845913058,False,2064.6796875,8,72,1
0.1,4.733250566259252,4.733250566259252,0.05313292845913058,False,2065.435546875,8,72,2
0.1,4.733811409123086,4.733811409123086,0.05313292845913058,False,2065.41748046875,8,72,3
0.1,4.763688702083797,0.47277793600963797,0.05313292845913058,True,2136.236083984375,10,72,0
0.1,4.736474500908736,4.736474500908736,0.05313292845913058,False,2104.41650390625,10,72,0
0.1,4.735609706411535,4.735609706411535,0.05313292845913058,False,2064.6796875,10,72,1
0.1,4.733250566259252,4.733250566259252,0.05313292845913058,False,2065.435546875,10,72,2
0.1,4.733811409123086,4.733811409123086,0.05313292845913058,False,2065.41748046875,10,72,3
0.1,4.590841615025988,0.45344953469669863,0.09271535610166441,True,1675.6812744140625,10,8,0
0.1,4.736474500908736,4.736474500908736,0.09271535610166441,False,2104.41650390625,10,8,0
0.1,4.734965460618882,4.734965460618882,0.09271535610166441,False,2035.0770263671875,10,8,1
0.1,4.727782068437193,4.727782068437193,0.09271535610166441,False,2037.378662109375,10,8,2
0.1,4.730761990813275,4.730761990813275,0.09271535610166441,False,2037.281982421875,10,8,3
0.1,4.699031813360386,0.4652659560049492,0.09271535610166441,True,1799.543212890625,10,16,0
0.1,4.736474500908736,4.736474500908736,0.09271535610166441,False,2104.41650390625,10,16,0
0.1,4.734965460618882,4.734965460618882,0.09271535610166441,False,2035.0770263671875,10,16,1
0.1,4.727782068437193,4.727782068437193,0.09271535610166441,False,2037.378662109375,10,16,2
0.1,4.730761990813275,4.730761990813275,0.09271535610166441,False,2037.281982421875,10,16,3
0.1,4.78313179387563,0.4702254436880661,0.09271535610166441,True,2074.103271484375,10,32,0
0.1,4.736474500908736,4.736474500908736,0.09271535610166441,False,2104.41650390625,10,32,0
0.1,4.734965460618882,4.734965460618882,0.09271535610166441,False,2035.0770263671875,10,32,1
0.1,4.727782068437193,4.727782068437193,0.09271535610166441,False,2037.378662109375,10,32,2
0.1,4.730761990813275,4.730761990813275,0.09271535610166441,False,2037.281982421875,10,32,3
0.1,4.768413080455064,0.46861456416063235,0.09271535610166441,True,2105.341552734375,10,48,0
0.1,4.736474500908736,4.736474500908736,0.09271535610166441,False,2104.41650390625,10,48,0
0.1,4.734965460618882,4.734965460618882,0.09271535610166441,False,2035.0770263671875,10,48,1
0.1,4.727782068437193,4.727782068437193,0.09271535610166441,False,2037.378662109375,10,48,2
0.1,4.730761990813275,4.730761990813275,0.09271535610166441,False,2037.281982421875,10,48,3
0.1,4.762431137980503,0.4679732957314828,0.09271535610166441,True,2109.561767578125,10,64,0
0.1,4.736474500908736,4.736474500908736,0.09271535610166441,False,2104.41650390625,10,64,0
0.1,4.734965460618882,4.734965460618882,0.09271535610166441,False,2035.0770263671875,10,64,1
0.1,4.727782068437193,4.727782068437193,0.09271535610166441,False,2037.378662109375,10,64,2
0.1,4.730761990813275,4.730761990813275,0.09271535610166441,False,2037.281982421875,10,64,3
0.1,4.987512093945076,0.4489066121020027,0.09271535610166441,True,2233.351806640625,4,72,0
0.1,4.736474500908736,4.736474500908736,0.09271535610166441,False,2104.41650390625,4,72,0
0.1,4.734965460618882,4.734965460618882,0.09271535610166441,False,2035.0770263671875,4,72,1
0.1,4.727782068437193,4.727782068437193,0.09271535610166441,False,2037.378662109375,4,72,2
0.1,4.730761990813275,4.730761990813275,0.09271535610166441,False,2037.281982421875,4,72,3
0.1,4.847678345347829,0.4453747419693331,0.09271535610166441,True,2147.1376953125,6,72,0
0.1,4.736474500908736,4.736474500908736,0.09271535610166441,False,2104.41650390625,6,72,0
0.1,4.734965460618882,4.734965460618882,0.09271535610166441,False,2035.0770263671875,6,72,1
0.1,4.727782068437193,4.727782068437193,0.09271535610166441,False,2037.378662109375,6,72,2
0.1,4.730761990813275,4.730761990813275,0.09271535610166441,False,2037.281982421875,6,72,3
0.1,4.787720963178204,0.4572100148501978,0.09271535610166441,True,2120.208740234375,8,72,0
0.1,4.736474500908736,4.736474500908736,0.09271535610166441,False,2104.41650390625,8,72,0
0.1,4.734965460618882,4.734965460618882,0.09271535610166441,False,2035.0770263671875,8,72,1
0.1,4.727782068437193,4.727782068437193,0.09271535610166441,False,2037.378662109375,8,72,2
